Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p80,IL,PJM_West,usa,CT,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 01:00:00,2035-01-01 00:00:00,11596.8,0.0,0.0,8.0,11604.9,11220.8,9221.3,1236.8,0.0,0.0324,0.0433,wind-ons,wind-ons,0.0,0.0,0.0,6.9,16.2,0.15,0.0,7.4,7.4,0.0,0.0,0.0,7.3,17.2,0.16,0.0,7.9,7.9,10.8,0.2,0.03,1.3,73.0,0.01,10.8,3.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.1,0.0,2090.1,10368.1,2383.5,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,2383.5,0.0
2035-01-01 02:00:00,2035-01-01 01:00:00,11071.6,389.6,0.0,8.5,11469.7,10717.7,9288.9,1304.4,0.0,0.032,0.0413,wind-ons,wind-ons,0.0,0.0,0.0,7.0,16.5,0.16,0.0,7.5,7.5,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,7.5,0.2,0.02,0.9,48.1,0.01,7.5,2.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.5,0.0,2112.5,10165.3,2180.8,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,2180.8,0.0
2035-01-01 03:00:00,2035-01-01 02:00:00,10654.7,1123.7,0.0,9.9,11788.4,10317.8,9514.9,1530.3,0.0,0.0316,0.0398,wind-ons,wind-ons,0.0,0.0,0.0,6.9,16.3,0.15,0.0,7.5,7.5,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,7.5,0.2,0.02,0.9,48.0,0.01,7.5,2.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,0.0,2096.0,10258.1,2273.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,2273.6,0.0
2035-01-01 04:00:00,2035-01-01 03:00:00,10446.3,0.0,0.0,3.9,10450.2,10117.6,8582.6,598.1,0.0,0.0315,0.039,wind-ons,wind-ons,0.0,0.0,0.0,7.2,17.0,0.16,0.0,7.8,7.8,0.0,0.0,0.0,7.5,17.8,0.17,0.0,8.1,8.1,7.5,0.2,0.02,0.9,48.0,0.01,7.5,2.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.8,0.0,2561.8,9852.1,1867.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1867.6,0.0
2035-01-01 05:00:00,2035-01-01 04:00:00,10364.2,0.0,0.0,3.9,10368.1,10038.7,8583.7,599.2,0.0,0.0314,0.0387,wind-ons,wind-ons,0.0,0.0,0.0,7.3,17.1,0.16,0.0,7.8,7.8,0.0,0.0,0.0,7.6,17.9,0.17,0.0,8.2,8.2,7.5,0.2,0.02,0.9,48.0,0.01,7.5,2.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752.3,0.0,2752.3,9768.9,1784.4,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1784.4,0.0
2035-01-01 06:00:00,2035-01-01 05:00:00,10582.1,0.0,0.0,6.9,10589.0,10248.0,9048.4,1063.8,0.0,0.0316,0.0395,wind-ons,wind-ons,0.0,0.0,0.0,7.5,17.6,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.8,18.5,0.17,0.0,8.4,8.4,7.5,0.2,0.02,0.9,48.0,0.01,7.5,2.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.1,0.0,3016.1,9525.2,1540.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1540.7,0.0
2035-01-01 07:00:00,2035-01-01 06:00:00,10893.7,665.4,0.0,0.0,11559.1,10547.1,7984.5,0.0,0.0,0.0318,0.0407,wind-ons,wind-ons,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,0.0,0.0,0.0,6.3,15.0,0.14,0.0,6.8,6.8,20.7,0.4,0.05,2.5,146.5,0.01,20.7,6.8,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.4,0.0,985.4,11559.1,3574.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,3574.6,0.0
2035-01-01 08:00:00,2035-01-01 07:00:00,11392.6,856.5,0.0,0.0,12249.1,11025.3,7984.5,0.0,0.0,0.0322,0.0425,wind-ons,wind-ons,0.0,0.0,0.0,5.8,13.7,0.13,0.0,6.2,6.2,0.0,0.0,0.0,6.0,14.1,0.13,0.0,6.4,6.4,35.2,0.7,0.08,4.2,254.7,0.02,35.2,11.8,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.5,3.0,364.5,12249.1,4264.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,66.1,4198.5,0.0
